gameweek,player_id,web_name,position,xPoints,now_cost,blend_rank,minutes,actual_points
2,1,Raya,GKP,4.0,,,90,6
2,4,Gabriel,DEF,4.0,,,90,8
2,411,Haaland,FWD,4.0,,,90,13
2,426,B.Fernandes,MID,4.0,,,90,23
2,226,Pickford,GKP,3.3,,,90,3
2,350,A.Becker,GKP,3.3,,,90,0
2,384,Donnarumma,GKP,3.3,,,90,0
2,12,Saka,MID,3.2,,,90,11
2,154,Palmer,MID,3.2,,,90,7
2,356,Virgil,DEF,3.1,,,90,1
2,387,O'Reilly,DEF,3.1,,,88,2
2,397,Semenyo,MID,2.9,,,90,5
2,200,Lacroix,DEF,2.8,,,90,1
2,229,Tarkowski,DEF,2.8,,,90,12
2,388,Guéhi,DEF,2.8,,,90,2
2,427,Mbeumo,MID,2.8,,,90,11
2,428,Cunha,MID,2.8,,,79,9
2,498,Senesi,DEF,2.8,,,0,0
2,379,Isak,FWD,2.7,,,90,8
2,2,Arrizabalaga,GKP,2.6,,,0,0
2,3,Meslier,GKP,2.6,,,0,0
2,8,Calafiori,DEF,2.6,,,90,11
2,13,Rice,MID,2.6,,,84,5
2,28,Martinez,GKP,2.6,,,90,2
2,597,Suzuki,GKP,2.6,,,90,2
2,82,Kelleher,GKP,2.6,,,90,2
2,40,Rogers,MID,2.6,,,90,5
2,140,Sánchez,GKP,2.6,,,0,0
2,198,Henderson,GKP,2.6,,,90,1
2,227,Travers,GKP,2.6,,,0,0
2,385,Trafford,GKP,2.6,,,90,3
2,351,Mamardashvili,GKP,2.6,,,0,0
2,366,Wirtz,MID,2.6,,,90,4
2,399,Cherki,MID,2.6,,,81,14
2,587,Rulli,GKP,2.6,,,0,0
2,412,Lammens,GKP,2.6,,,90,2
2,442,Pope,GKP,2.6,,,0,0
2,567,Horníček,GKP,2.6,,,90,7
2,467,Sels,GKP,2.6,,,90,1
2,529,Roefs,GKP,2.6,,,90,6
2,10,White,DEF,2.5,,,90,7
2,11,Mosquera,DEF,2.5,,,78,6
2,60,Hill,DEF,2.5,,,90,4
2,61,Truffert,DEF,2.5,,,90,4
2,84,Collins,DEF,2.5,,,90,3
2,106,Thiago,FWD,2.5,,,90,2
2,142,James,DEF,2.5,,,22,1
2,155,Enzo,MID,2.5,,,0,0
2,201,Muñoz,DEF,2.5,,,0,0
2,230,Branthwaite,DEF,2.5,,,90,4
2,357,Frimpong,DEF,2.5,,,70,1
2,358,Kerkez,DEF,2.5,,,70,1
2,367,Gakpo,MID,2.5,,,70,5
2,368,Szoboszlai,MID,2.5,,,90,4
2,579,Araujo,DEF,2.5,,,13,0
2,390,Rúben,DEF,2.5,,,90,2
2,391,Gvardiol,DEF,2.5,,,74,5
2,392,Aït-Nouri,DEF,2.5,,,0,0
2,393,Khusanov,DEF,2.5,,,88,2
2,398,Foden,MID,2.5,,,90,9
2,429,Rashford,MID,2.5,,,79,2
2,471,Milenković,DEF,2.5,,,90,3
2,472,Murillo,DEF,2.5,,,90,1
2,581,Diomande,DEF,2.5,,,0,0
2,499,Pedro Porro,DEF,2.5,,,90,1
2,533,Mukiele,DEF,2.5,,,90,9
2,9,Hincapie,DEF,2.4,,,0,0
2,26,Havertz,FWD,2.4,,,90,2
2,55,Watkins,FWD,2.4,,,0,0
2,165,João Pedro,FWD,2.4,,,90,9
2,14,Eze,MID,2.3,,,45,1
2,15,Ødegaard,MID,2.3,,,70,3
2,16,Madueke,MID,2.3,,,0,0
2,18,Martinelli,MID,2.3,,,0,0
2,25,Gyökeres,FWD,2.3,,,0,0
2,557,Tzolis,MID,2.3,,,45,0
2,67,Rayan,MID,2.3,,,90,2
2,95,O.Dango,MID,2.3,,,29,1
2,156,Neto,MID,2.3,,,67,7
2,157,Estêvão,MID,2.3,,,0,0
2,236,Dewsbury-Hall,MID,2.3,,,90,2
2,260,Wilson,MID,2.3,,,45,1
2,377,Munoz,MID,2.3,,,90,6
2,238,Grealish,MID,2.3,,,0,0
2,481,Anderson,MID,2.3,,,81,3
2,403,Sávio,MID,2.3,,,0,0
2,17,Merino,MID,2.2,,,19,1
2,41,Buendía,MID,2.2,,,90,2
2,160,Garnacho,MID,2.2,,,12,1
2,62,Diakité,DEF,2.2,,,0,0
2,68,Tavernier,MID,2.2,,,90,1
2,69,Scott,MID,2.2,,,86,12
2,70,Kluivert,MID,2.2,,,80,3
2,566,Silva,DEF,2.2,,,90,4
2,94,Schade,MID,2.2,,,87,10
2,105,Anthony,MID,2.2,,,60,2
2,120,Svoboda,DEF,2.2,,,0,0
2,130,Wieffer,DEF,2.2,,,79,0
2,328,Struijk,DEF,2.2,,,0,0
2,504,Vuskovic,DEF,2.2,,,90,0
2,144,Gusto,DEF,2.2,,,90,1
2,145,Fofana,DEF,2.2,,,67,0
2,149,Colwill,DEF,2.2,,,71,1
2,158,Gittens,MID,2.2,,,0,0
2,583,Chavarria,DEF,2.2,,,18,1
2,202,Richards,DEF,2.2,,,90,0
2,203,Canvot,DEF,2.2,,,90,0
2,588,Khalaili,DEF,2.2,,,74,2
2,209,Johnson,MID,2.2,,,28,1
2,231,Keane,DEF,2.2,,,0,0
2,232,O'Brien,DEF,2.2,,,0,0
2,237,Ndiaye,MID,2.2,,,90,4
2,239,Garner,MID,2.2,,,61,1
2,253,Andersen,DEF,2.2,,,90,1
2,327,Bijol,DEF,2.2,,,45,1
2,334,Muharemović,DEF,2.2,,,90,4
2,335,Stach,MID,2.2,,,90,4
2,336,Okafor,MID,2.2,,,68,2
2,362,Jacquet,DEF,2.2,,,76,3
2,364,Tsimikas,DEF,2.2,,,19,1
2,369,Ngumoha,MID,2.2,,,19,1
2,371,Gravenberch,MID,2.2,,,19,1
2,401,Marmoush,FWD,2.2,,,90,2
2,43,Tielemans,MID,2.2,,,90,4
2,415,Dorgu,MID,2.2,,,10,1
2,417,Dalot,DEF,2.2,,,73,2
2,418,Maguire,DEF,2.2,,,90,4
2,419,Martinez,DEF,2.2,,,90,1
2,420,Yoro,DEF,2.2,,,16,1
2,439,Šeško,FWD,2.2,,,10,1
2,445,Thiaw,DEF,2.2,,,90,6
2,446,Schär,DEF,2.2,,,0,0
2,447,Botman,DEF,2.2,,,90,5
2,449,Hall,DEF,2.2,,,90,11
2,453,Barnes,MID,2.2,,,90,3
2,454,Elanga,MID,2.2,,,81,8
2,457,J.Murphy,MID,2.2,,,8,1
2,461,Touré,MID,2.2,,,1,1
2,469,N.Williams,DEF,2.2,,,90,6
2,470,Morato,DEF,2.2,,,0,0
2,482,Hudson-Odoi,MID,2.2,,,1,1
2,112,Van Hecke,DEF,2.2,,,90,1
2,501,Danso,DEF,2.2,,,0,0
2,503,Van de Ven,DEF,2.2,,,90,0
2,514,Tel,MID,2.2,,,67,2
2,525,Fernandes,MID,2.2,,,90,2
2,532,Ballard,DEF,2.2,,,90,8
2,535,Alderete,DEF,2.2,,,0,0
2,542,E.Le Fée,MID,2.2,,,89,3
2,166,N.Jackson,FWD,2.1,,,70,2
2,223,Mateta,FWD,2.1,,,0,0
2,389,Matheus N.,DEF,2.1,,,0,0
2,480,Gibbs-White,MID,2.1,,,90,13
2,7,Lewis-Skelly,MID,2.0,,,70,3
2,19,Zubimendi,MID,2.0,,,5,1
2,22,Nwaneri,MID,2.0,,,0,0
2,23,Fábio Vieira,MID,2.0,,,0,0
2,24,Nelson,MID,2.0,,,0,0
2,27,G.Jesus,FWD,2.0,,,0,0
2,44,Bailey,MID,2.0,,,0,0
2,45,McGinn,MID,2.0,,,90,1
2,79,Evanilson,FWD,2.0,,,80,5
2,81,Rodríguez,FWD,2.0,,,9,1
2,86,Lewis-Potter,MID,2.0,,,87,6
2,96,Damsgaard,MID,2.0,,,68,3
2,97,Jensen,MID,2.0,,,0,0
2,565,M.Sangaré,MID,2.0,,,90,4
2,124,Groß,MID,2.0,,,90,13
2,126,O'Riley,MID,2.0,,,0,0
2,129,Ayari,MID,2.0,,,0,0
2,594,David,FWD,2.0,,,10,1
2,136,Welbeck,FWD,2.0,,,0,0
2,164,Quenda,MID,2.0,,,0,0
2,568,Barco,MID,2.0,,,8,1
2,578,Mudryk,MID,2.0,,,0,0
2,186,Mason-Clark,MID,2.0,,,57,1
2,188,Torp,MID,2.0,,,19,1
2,190,Tchaouna,MID,2.0,,,58,1
2,584,Hamer,MID,2.0,,,19,1
2,42,Guessand,MID,2.0,,,27,1
2,210,Wharton,MID,2.0,,,90,2
2,211,Yeremy,MID,2.0,,,67,5
